name,Type,Region,Zone
ArapahoeCC-Total,Gas CC,PSCO,WECC
ArbWind,Wind,CISC,WECC
ArcadianRenewbl,Wind,CIPV,WECC
ARD_G1,Wind,AESO,WECC
ARD_G2,Wind,AESO,WECC
ArenaDrop,Hydro,IPTV,WECC
Argus_Cogen8,Coal,CISC,WECC
Argus_Cogen9,Coal,CISC,WECC
ArizonaFalls,Hydro,SRP,WECC
ArlingtonValleyPV1,PV,SRP,WECC
ArlingtonValleyPV2,PV,SRP,WECC
ArlingtonWind,Wind,BPAT,WECC
ArlngtnVallyCC-Total,Gas CC,SRP,WECC
Arrow_Lake1,Hydro,BCHA,WECC
Arrow_Lake2,Hydro,BCHA,WECC
Arvada1,Gas CT,WACM,WECC
Arvada2,Gas CT,WACM,WECC
Arvada3,Gas CT,WACM,WECC
Ash_River_1,Hydro,BCHA,WECC
Ashlu_Creek_1,Hydro,BCHA,WECC
Ashlu_Creek_2,Hydro,BCHA,WECC
Ashlu_Creek_3,Hydro,BCHA,WECC
Astroenergy,PV,TEPC,WECC
AtwellIsland,PV,CIPV,WECC
Aurora,Geothermal,SPPC,WECC
Avalon,PV,TEPC,WECC
AvenalPark,PV,CIPV,WECC
AVSolarRanchOneAVSR,PV,CISC,WECC
Azusa,Hydro,CISC,WECC
Baca_Renewable,Wind,PSCO,WECC
Badger_1,PV,AZPS,WECC
Badger_Creek,CHP-QF,CIPV,WECC
BajaCA2CC-Total,Gas CC,CFE,WECC
BajaCA2TG1-1,Gas CT,CFE,WECC
BajaCA2TG1-2,Gas CT,CFE,WECC
BajaCA2TG1-3,Gas CT,CFE,WECC
BajaCA3CC-Total,Gas CC,CFE,WECC
BajaCA4CC-Total,Gas CC,CFE,WECC
Baker_Station,Hydro,CIPV,WECC
Balch1-1,Hydro,CIPV,WECC
Balch2-2,Hydro,CIPV,WECC
Balch2-3,Hydro,CIPV,WECC
BalzacCC-Total,Gas CC,AESO,WECC
BangorSubmarineBase2,Other,BPAT,WECC
BarberCreek1,Gas CT,WACM,WECC
BarberCreek2,Gas CT,WACM,WECC
BarberCreek3,Gas CT,WACM,WECC
BarberDamGEN1,Hydro,IPTV,WECC
Barr_Creek_1,Hydro,BCHA,WECC
Barr_Creek_2,Hydro,BCHA,WECC
BarrePeaker,Gas CT,CISC,WECC
Barrier,Hydro,AESO,WECC
BasinCreek1,Other,NWMT,WECC
BasinCreek2,Other,NWMT,WECC
BasinCreek3,Other,NWMT,WECC
BasinCreek4,Other,NWMT,WECC
BasinCreek5,Other,NWMT,WECC
BasinCreek6,Other,NWMT,WECC
BasinCreek7,Other,NWMT,WECC
BasinCreek8,Other,NWMT,WECC
BasinCreek9,Other,NWMT,WECC
Battle_River_4,Coal,AESO,WECC
Battle_River_5,Coal,AESO,WECC
Bay_Envirnmntal,Biomass,CIPB,WECC
Bear_Canyon1,Geothermal,CIPV,WECC
Bear_Canyon2,Geothermal,CIPV,WECC
Bear_Creek,Hydro,CIPV,WECC
BearCreekCC-Total,Gas CC,AESO,WECC
Beardsley_1,Hydro,CIPV,WECC
BearMountain_BC,Wind,BCHA,WECC
BearMountain_CA,CHP-QF,CIPV,WECC
Bearspaw_1,Hydro,AESO,WECC
Beaver8,Gas CT,PGE,WECC
BeaverCC-Total,Gas CC,PGE,WECC
Belden_1,Hydro,CIPV,WECC
BellevueSolarINV1,PV,PGE,WECC
Belly_River,Hydro,AESO,WECC
Bend1,Hydro,PACW,WECC
Bend2,Hydro,PACW,WECC
Bend3,Hydro,PACW,WECC
BenFrenchGT1,Gas CT,WACM,WECC
BenFrenchGT2,Gas CT,WACM,WECC
BenFrenchGT3,Gas CT,WACM,WECC
BenFrenchGT4,Gas CT,WACM,WECC
BennettCreek,Wind,IPTV,WECC
BennettMountain,Gas CT,IPTV,WECC
BeowawePower1,Geothermal,SPPC,WECC
BeowawePower2,Geothermal,SPPC,WECC
BerryPlaceritaCogen1,CHP-QF,CISC,WECC
BerryPlaceritaCogen2,CHP-QF,CISC,WECC
BerryTanneHills18-1,CHP-QF,CIPV,WECC
BerryTanneHills18-2,Gas CT,CIPV,WECC
BerryUniversityCogen,Gas CT,CIPV,WECC
Betasso_Hydro,Hydro,PSCO,WECC
BidwellDitchGEN1,Hydro,CIPV,WECC
Big_Cliff_1,Hydro,BPAT,WECC
BigCreek1-1,Hydro,CISC,WECC
BigCreek1-2,Hydro,CISC,WECC
BigCreek1-3,Hydro,CISC,WECC
BigCreek1-4,Hydro,CISC,WECC
BigCreek2-3,Hydro,CISC,WECC
BigCreek2-4,Hydro,CISC,WECC
BigCreek2-5,Hydro,CISC,WECC
BigCreek2-6,Hydro,CISC,WECC
BigCreek2A-1,Hydro,CISC,WECC
BigCreek2A-2,Hydro,CISC,WECC
BigCreek3-1,Hydro,CISC,WECC
BigCreek3-2,Hydro,CISC,WECC
BigCreek3-3,Hydro,CISC,WECC
BigCreek3-4,Hydro,CISC,WECC
BigCreek3-5,Hydro,CISC,WECC
BigCreek4-1,Hydro,CISC,WECC
BigCreek4-2,Hydro,CISC,WECC
BigCreek8-1,Hydro,CISC,WECC
BigCreek8-2,Hydro,CISC,WECC
BigCreekWW,Hydro,CIPV,WECC
Bighorn_1,Hydro,AESO,WECC
Bighorn_2,Hydro,AESO,WECC
BigHorn1,Wind,BPAT,WECC
BigHorn2,Wind,BPAT,WECC
BiglowCanyon1,Wind,BPAT,WECC
BiglowCanyon2,Wind,BPAT,WECC
BiglowCanyon3,Wind,BPAT,WECC
BigPine,Hydro,CISC,WECC
BigSilver1,Hydro,BCHA,WECC
BigSilver2,Hydro,BCHA,WECC
BigSilver3,Hydro,BCHA,WECC
BigSilver4,Hydro,BCHA,WECC
BigSky1,Biomass,IPMV,WECC
BigSky2,Biomass,IPMV,WECC
BigThompson,Hydro,WACM,WECC
BigValley,Biomass,CIPV,WECC
BiomassOneGE1,Biomass,PACW,WECC
BiomassOneGE2,Biomass,PACW,WECC
BirchCreek1,Hydro,IPFE,WECC
BishopCreek2-1,Hydro,CISC,WECC
BishopCreek2-2,Hydro,CISC,WECC
BishopCreek2-3,Hydro,CISC,WECC
BishopCreek3-1,Hydro,CISC,WECC
BishopCreek3-2,Hydro,CISC,WECC
BishopCreek3-3,Hydro,CISC,WECC
BishopCreek4-1,Hydro,CISC,WECC
BishopCreek4-2,Hydro,CISC,WECC
BishopCreek4-3,Hydro,CISC,WECC
BishopCreek4-4,Hydro,CISC,WECC
BishopCreek4-5,Hydro,CISC,WECC
BishopCreek5-1,Hydro,CISC,WECC
BishopCreek5-2,Hydro,CISC,WECC
BishopCreek6-1,Hydro,CISC,WECC
Bison_1_PHS,Storage,CISC,WECC
Black Rock 1-2,Geothermal,IID,WECC
